Loss/train_step,train_loss,created_at,val_loss,epoch,learning_rate,Dice/test/epoch,IOU,Dice/test,ACC/test,PPV/test,TPR/test,TNR/test,F1/test,Loss/train_epoch
12.475425720214844,12.475425720214844,2021-06-28 07:02:30.710917,,,,,,,,,,,,
12.479837417602539,12.479837417602539,2021-06-28 07:02:31.948829,,,,,,,,,,,,
12.354958534240723,12.354958534240723,2021-06-28 07:02:33.168747,,,,,,,,,,,,
12.479958534240723,12.479958534240723,2021-06-28 07:02:34.421547,,,,,,,,,,,,
12.479958534240723,12.479958534240723,2021-06-28 07:02:35.682601,,,,,,,,,,,,
12.229957580566406,12.229957580566406,2021-06-28 07:02:36.953847,,,,,,,,,,,,
12.479955673217773,12.479955673217773,2021-06-28 07:02:38.249564,,,,,,,,,,,,
12.479958534240723,12.479958534240723,2021-06-28 07:02:39.376226,,,,,,,,,,,,
12.354959487915039,12.354959487915039,2021-06-28 07:02:40.571892,,,,,,,,,,,,
12.104959487915039,12.104959487915039,2021-06-28 07:02:41.736251,,,,,,,,,,,,
12.479958534240723,12.479958534240723,2021-06-28 07:02:42.991021,,,,,,,,,,,,
12.479958534240723,12.479958534240723,2021-06-28 07:02:44.221272,,,,,,,,,,,,
12.479958534240723,12.479958534240723,2021-06-28 07:02:45.447996,,,,,,,,,,,,
12.354958534240723,12.354958534240723,2021-06-28 07:02:46.612326,,,,,,,,,,,,
12.229958534240723,12.229958534240723,2021-06-28 07:02:47.806426,,,,,,,,,,,,
12.479958534240723,12.479958534240723,2021-06-28 07:02:48.990690,,,,,,,,,,,,
,,2021-06-28 07:02:50.155022,12.229959487915039,0.0,,,,,,,,,,
,,2021-06-28 07:02:50.275179,,0.0,0.001,3.490367329312495,0.9830766773077535,0.15384423079326903,0.9830766773077535,0.1538423077884592,0.1538423077884592,0.9914527410861366,0.15381923474755746,
,,2021-06-28 07:02:50.323398,,0.0,,,,,,,,,,12.322869300842285
12.354958534240723,12.354958534240723,2021-06-28 07:02:50.993565,,,,,,,,,,,,
12.179962158203125,12.179962158203125,2021-06-28 07:02:52.146409,,,,,,,,,,,,
12.479958534240723,12.479958534240723,2021-06-28 07:02:53.364852,,,,,,,,,,,,
12.104959487915039,12.104959487915039,2021-06-28 07:02:54.585316,,,,,,,,,,,,
12.479958534240723,12.479958534240723,2021-06-28 07:02:55.768796,,,,,,,,,,,,
12.479958534240723,12.479958534240723,2021-06-28 07:02:56.968340,,,,,,,,,,,,
12.354958534240723,12.354958534240723,2021-06-28 07:02:58.231736,,,,,,,,,,,,
12.479958534240723,12.479958534240723,2021-06-28 07:02:59.506826,,,,,,,,,,,,
12.054962158203125,12.054962158203125,2021-06-28 07:03:00.774313,,,,,,,,,,,,
12.479957580566406,12.479957580566406,2021-06-28 07:03:01.940799,,,,,,,,,,,,
12.479958534240723,12.479958534240723,2021-06-28 07:03:03.142569,,,,,,,,,,,,
12.179961204528809,12.179961204528809,2021-06-28 07:03:04.290217,,,,,,,,,,,,
12.479958534240723,12.479958534240723,2021-06-28 07:03:05.530504,,,,,,,,,,,,
12.354959487915039,12.354959487915039,2021-06-28 07:03:06.761526,,,,,,,,,,,,
12.479958534240723,12.479958534240723,2021-06-28 07:03:08.035082,,,,,,,,,,,,
12.354958534240723,12.354958534240723,2021-06-28 07:03:09.267885,,,,,,,,,,,,
,,2021-06-28 07:03:10.889966,12.229959487915039,1.0,,,,,,,,,,
,,2021-06-28 07:03:11.004492,,1.0,0.001,3.490367329312495,0.9830766773077535,0.15384423079326903,0.9830766773077535,0.1538423077884592,0.1538423077884592,0.9914527410861366,0.15381923474755746,
,,2021-06-28 07:03:11.053518,,1.0,,,,,,,,,,12.317909240722656
12.479959487915039,12.479959487915039,2021-06-28 07:03:11.190006,,,,,,,,,,,,
12.104959487915039,12.104959487915039,2021-06-28 07:03:12.372641,,,,,,,,,,,,
12.479958534240723,12.479958534240723,2021-06-28 07:03:13.580141,,,,,,,,,,,,
12.179960250854492,12.179960250854492,2021-06-28 07:03:14.829816,,,,,,,,,,,,
12.229960441589355,12.229960441589355,2021-06-28 07:03:16.109847,,,,,,,,,,,,
12.354959487915039,12.354959487915039,2021-06-28 07:03:17.342398,,,,,,,,,,,,
12.354959487915039,12.354959487915039,2021-06-28 07:03:18.495990,,,,,,,,,,,,
12.479959487915039,12.479959487915039,2021-06-28 07:03:19.723519,,,,,,,,,,,,
12.354958534240723,12.354958534240723,2021-06-28 07:03:20.963110,,,,,,,,,,,,
12.179961204528809,12.179961204528809,2021-06-28 07:03:22.175408,,,,,,,,,,,,
12.479959487915039,12.479959487915039,2021-06-28 07:03:23.394759,,,,,,,,,,,,
12.054960250854492,12.054960250854492,2021-06-28 07:03:24.594808,,,,,,,,,,,,
12.354958534240723,12.354958534240723,2021-06-28 07:03:25.772581,,,,,,,,,,,,
12.229959487915039,12.229959487915039,2021-06-28 07:03:26.994129,,,,,,,,,,,,
12.229960441589355,12.229960441589355,2021-06-28 07:03:28.247234,,,,,,,,,,,,
12.354959487915039,12.354959487915039,2021-06-28 07:03:29.459488,,,,,,,,,,,,
12.354959487915039,12.354959487915039,2021-06-28 07:03:30.643993,,,,,,,,,,,,
,,2021-06-28 07:03:31.696142,12.229959487915039,2.0,,,,,,,,,,
,,2021-06-28 07:03:31.810675,,2.0,0.001,3.490367329312495,0.9830766773077535,0.15384423079326903,0.9830766773077535,0.1538423077884592,0.1538423077884592,0.9914527410861366,0.15381923474755746,
,,2021-06-28 07:03:31.859379,,2.0,,,,,,,,,,12.317909240722656
12.104959487915039,12.104959487915039,2021-06-28 07:03:32.662475,,,,,,,,,,,,
12.229958534240723,12.229958534240723,2021-06-28 07:03:33.884422,,,,,,,,,,,,
